sales_date,orders_count,units_sold,gross_sales,avg_order_value,events_count,error_count
2025-11-10,21,35,4284.34,204.02,63,0
2025-11-11,23,40,5761.64,250.51,76,0
2025-11-12,25,40,6893.83,275.75,78,0
2025-11-13,28,47,7224.38,258.01,80,2
2025-11-14,27,47,7578.62,280.69,85,1
2025-11-15,22,39,5481.05,249.14,63,0
2025-11-16,19,30,5366.21,282.43,61,0
2025-11-17,20,41,5557.27,277.86,57,0
2025-11-18,21,29,6297.29,299.87,58,0
2025-11-19,25,40,7420.6,296.82,72,1
2025-11-20,28,48,6613.49,236.2,86,0
2025-11-21,23,40,6317.61,274.68,67,0
2025-11-22,19,31,7148.95,376.26,63,0
2025-11-23,17,31,4068.93,239.35,58,0
2025-11-24,20,33,5860.35,293.02,52,1
2025-11-25,24,48,6898.4,287.43,71,1
2025-11-26,24,30,6790.57,282.94,80,0
2025-11-27,25,40,8050.42,322.02,78,0
2025-11-28,27,48,6918.65,256.25,78,1
2025-11-29,22,31,7609.89,345.9,66,0
2025-11-30,15,25,4230.88,282.06,46,0
2025-12-01,17,30,4789.76,281.75,49,0
2025-12-02,18,29,4788.64,266.04,51,0
2025-12-03,25,47,6670.42,266.82,78,1
2025-12-04,22,34,6182.85,281.04,65,0
2025-12-05,21,33,5002.79,238.23,64,1
2025-12-06,22,29,4677.67,212.62,61,0
2025-12-07,17,27,5510.68,324.16,56,0
2025-12-08,21,35,6467.47,307.97,64,0
2025-12-09,25,43,7485.41,299.42,79,2
2025-12-10,29,47,8975.62,309.5,92,0
2025-12-11,33,56,10348.48,313.59,88,0
2025-12-12,27,47,6591.2,244.12,84,0
2025-12-13,28,48,7565.51,270.2,81,0
2025-12-14,21,34,5882.21,280.11,60,0
2025-12-15,24,42,6908.86,287.87,76,0
2025-12-16,27,40,6473.75,239.77,75,1
2025-12-17,27,53,9043.06,334.93,84,0
2025-12-18,30,53,9586.18,319.54,83,0
2025-12-19,27,41,5259.65,194.8,80,0
2025-12-20,25,42,7217.33,288.69,76,0
2025-12-21,21,36,5363.89,255.42,61,0
2025-12-22,32,56,9012.78,281.65,95,0
2025-12-23,39,69,11743.55,301.12,113,0
2025-12-24,42,70,10649.74,253.57,117,0
2025-12-25,46,72,11557.64,251.25,139,1
2025-12-26,42,61,9985.0,237.74,129,0
2025-12-27,38,57,10776.51,283.59,112,0
2025-12-28,38,66,11071.19,291.35,104,0
2025-12-29,23,38,5342.13,232.27,70,1
2025-12-30,29,55,8696.03,299.86,88,2
2025-12-31,31,45,9812.78,316.54,95,0
2026-01-01,32,57,8846.34,276.45,95,0
2026-01-02,33,62,9824.15,297.7,100,0
2026-01-03,26,43,7214.59,277.48,83,0
2026-01-04,26,44,7148.72,274.95,81,0
2026-01-05,27,45,6943.96,257.18,85,1
2026-01-06,29,40,7410.63,255.54,90,0
2026-01-07,34,52,7191.43,211.51,107,0
2026-01-08,35,59,7234.99,206.71,108,0
2026-01-09,35,59,9712.11,277.49,94,1
2026-01-10,32,56,8325.6,260.18,90,0
2026-01-11,26,42,8251.48,317.36,74,0
2026-01-12,25,41,8197.23,327.89,77,1
2026-01-13,31,50,9752.89,314.61,90,1
2026-01-14,33,51,8781.33,266.1,100,0
2026-01-15,33,49,8452.31,256.13,96,1
2026-01-16,31,54,7948.25,256.4,90,1
2026-01-17,28,48,8081.05,288.61,84,0
2026-01-18,24,32,4899.56,204.15,71,0
2026-01-19,24,32,4280.75,178.36,70,0
2026-01-20,29,52,8173.85,281.86,83,1
2026-01-21,30,40,7592.8,253.09,89,0
2026-01-22,35,53,8746.31,249.89,103,0
2026-01-23,34,57,9366.84,275.5,105,0
2026-01-24,35,55,9609.15,274.55,103,0
2026-01-25,33,52,7511.19,227.61,99,2
2026-01-26,34,57,11101.85,326.52,102,0
2026-01-27,37,59,7585.94,205.03,115,1
2026-01-28,42,68,11610.93,276.45,138,2
2026-01-29,45,75,10932.01,242.93,139,1
2026-01-30,44,71,12089.51,274.76,141,0
2026-01-31,39,61,9520.31,244.11,114,0
2026-02-01,28,51,6226.54,222.38,89,1
2026-02-02,27,42,6291.78,233.03,76,0
2026-02-03,31,50,7229.76,233.22,93,0
2026-02-04,40,67,10273.8,256.85,115,0
2026-02-05,42,77,11972.37,285.06,129,1
2026-02-06,36,59,11661.12,323.92,109,0
2026-02-07,35,49,7355.1,210.15,111,1
2026-02-08,28,51,6798.45,242.8,80,1
2026-02-09,28,45,9535.65,340.56,87,0
2026-02-10,34,53,8767.95,257.88,111,0
2026-02-11,37,56,8307.32,224.52,111,0
2026-02-12,39,61,9219.03,236.39,119,2
2026-02-13,37,69,11777.14,318.3,112,1
2026-02-14,34,50,8892.17,261.53,108,1
2026-02-15,28,50,5760.08,205.72,88,1
2026-02-16,29,49,7907.15,272.66,89,0
2026-02-17,32,55,7658.76,239.34,91,0
2026-02-18,38,68,9224.85,242.76,126,0
2026-02-19,36,65,10560.0,293.33,113,0
2026-02-20,37,61,10091.63,272.75,109,0
2026-02-21,31,53,7621.57,245.86,93,2
2026-02-22,30,54,6929.79,230.99,95,0
2026-02-23,26,46,7416.44,285.25,76,0
2026-02-24,31,50,8186.46,264.08,94,0
2026-02-25,36,58,9094.69,252.63,115,0
2026-02-26,42,78,13677.6,325.66,133,0
2026-02-27,37,65,10072.96,272.24,106,0
