order_id,order_ts,order_date,customer_id,customer_name,segment,region,channel,line_no,product_id,product_name,product_category,quantity,unit_price,line_total,currency
O100011,2025-09-01T14:06:48,2025-09-01,C0024,Customer 0024,SMB,SW,mobile,1,P200,Analytics Add-on,addon,2,37.75,75.50,USD
O100011,2025-09-01T14:06:48,2025-09-01,C0024,Customer 0024,SMB,SW,mobile,2,P110,Professional Subscription,subscription,1,73.05,73.05,USD
O100012,2025-09-01T11:29:40,2025-09-01,C0037,Customer 0037,SMB,SE,web,1,P100,Starter Subscription,subscription,1,30.85,30.85,USD
O100013,2025-09-01T18:25:17,2025-09-01,C0006,Customer 0006,Consumer,W,web,1,P310,Training Package,service,1,321.66,321.66,USD
O100013,2025-09-01T18:25:17,2025-09-01,C0006,Customer 0006,Consumer,W,web,2,P300,Implementation Package,service,1,531.78,531.78,USD
O100014,2025-09-01T10:05:58,2025-09-01,C0188,Customer 0188,Mid-Market,SW,web,1,P110,Professional Subscription,subscription,1,74.35,74.35,USD
O100014,2025-09-01T10:05:58,2025-09-01,C0188,Customer 0188,Mid-Market,SW,web,2,P310,Training Package,service,1,300.89,300.89,USD
O100015,2025-09-01T18:47:43,2025-09-01,C0095,Customer 0095,SMB,SE,web,1,P300,Implementation Package,service,1,534.15,534.15,USD
O100016,2025-09-02T10:02:02,2025-09-02,C0030,Customer 0030,Consumer,SW,web,1,P100,Starter Subscription,subscription,1,27.77,27.77,USD
O100017,2025-09-02T18:22:03,2025-09-02,C0231,Customer 0231,Consumer,W,web,1,P100,Starter Subscription,subscription,1,31.08,31.08,USD
O100018,2025-09-02T12:54:09,2025-09-02,C0001,Customer 0001,Consumer,NE,partner,1,P310,Training Package,service,1,283.43,283.43,USD
O100019,2025-09-02T20:58:55,2025-09-02,C0187,Customer 0187,SMB,SW,mobile,1,P300,Implementation Package,service,1,536.05,536.05,USD
O100020,2025-09-02T18:37:35,2025-09-02,C0160,Customer 0160,Mid-Market,SE,mobile,1,P210,Automation Add-on,addon,2,57.06,114.12,USD
O100021,2025-09-02T09:05:27,2025-09-02,C0024,Customer 0024,SMB,SW,web,1,P310,Training Package,service,1,301.70,301.70,USD
O100021,2025-09-02T09:05:27,2025-09-02,C0024,Customer 0024,SMB,SW,web,2,P110,Professional Subscription,subscription,1,80.09,80.09,USD
O100022,2025-09-02T11:51:27,2025-09-02,C0147,Customer 0147,Enterprise,W,mobile,1,P310,Training Package,service,1,307.37,307.37,USD
O100022,2025-09-02T11:51:27,2025-09-02,C0147,Customer 0147,Enterprise,W,mobile,2,P210,Automation Add-on,addon,2,54.53,109.06,USD
O100022,2025-09-02T11:51:27,2025-09-02,C0147,Customer 0147,Enterprise,W,mobile,3,P300,Implementation Package,service,1,533.26,533.26,USD
O100023,2025-09-02T09:56:03,2025-09-02,C0153,Customer 0153,Consumer,W,web,1,P100,Starter Subscription,subscription,1,27.06,27.06,USD
O100023,2025-09-02T09:56:03,2025-09-02,C0153,Customer 0153,Consumer,W,web,2,P300,Implementation Package,service,1,494.46,494.46,USD
O100024,2025-09-02T12:13:49,2025-09-02,C0053,Customer 0053,SMB,SE,web,1,P120,Enterprise Subscription,subscription,1,186.90,186.90,USD
O100025,2025-09-02T13:10:51,2025-09-02,C0006,Customer 0006,Consumer,W,partner,1,P300,Implementation Package,service,1,532.51,532.51,USD
O100026,2025-09-02T16:40:07,2025-09-02,C0020,Customer 0020,SMB,MW,web,1,P310,Training Package,service,1,291.79,291.79,USD
O100027,2025-09-02T08:22:32,2025-09-02,C0152,Customer 0152,Consumer,MW,web,1,P100,Starter Subscription,subscription,1,26.94,26.94,USD
O100028,2025-09-02T09:51:57,2025-09-02,C0116,Customer 0116,Mid-Market,NE,mobile,1,P100,Starter Subscription,subscription,1,26.86,26.86,USD
O100028,2025-09-02T09:51:57,2025-09-02,C0116,Customer 0116,Mid-Market,NE,mobile,2,P210,Automation Add-on,addon,2,58.41,116.82,USD
O100028,2025-09-02T09:51:57,2025-09-02,C0116,Customer 0116,Mid-Market,NE,mobile,3,P110,Professional Subscription,subscription,1,78.23,78.23,USD
O100029,2025-09-02T18:25:08,2025-09-02,C0179,Customer 0179,Consumer,SW,mobile,1,P120,Enterprise Subscription,subscription,1,203.57,203.57,USD
O100029,2025-09-02T18:25:08,2025-09-02,C0179,Customer 0179,Consumer,SW,mobile,2,P210,Automation Add-on,addon,1,61.96,61.96,USD
O100029,2025-09-02T18:25:08,2025-09-02,C0179,Customer 0179,Consumer,SW,mobile,3,P200,Analytics Add-on,addon,2,40.27,80.54,USD
O100030,2025-09-02T16:02:42,2025-09-02,C0227,Customer 0227,Mid-Market,MW,web,1,P110,Professional Subscription,subscription,1,77.44,77.44,USD
O100030,2025-09-02T16:02:42,2025-09-02,C0227,Customer 0227,Mid-Market,MW,web,2,P210,Automation Add-on,addon,1,55.99,55.99,USD
O100031,2025-09-02T11:51:38,2025-09-02,C0210,Customer 0210,SMB,NE,web,1,P300,Implementation Package,service,1,497.45,497.45,USD
O100032,2025-09-02T13:15:24,2025-09-02,C0129,Customer 0129,Consumer,SE,partner,1,P100,Starter Subscription,subscription,1,28.16,28.16,USD
O100033,2025-09-02T19:38:33,2025-09-02,C0141,Customer 0141,SMB,MW,web,1,P110,Professional Subscription,subscription,1,74.22,74.22,USD
O100033,2025-09-02T19:38:33,2025-09-02,C0141,Customer 0141,SMB,MW,web,2,P120,Enterprise Subscription,subscription,1,190.67,190.67,USD
O100034,2025-09-03T09:33:34,2025-09-03,C0093,Customer 0093,SMB,W,web,1,P210,Automation Add-on,addon,1,54.69,54.69,USD
O100034,2025-09-03T09:33:34,2025-09-03,C0093,Customer 0093,SMB,W,web,2,P100,Starter Subscription,subscription,1,28.48,28.48,USD
O100034,2025-09-03T09:33:34,2025-09-03,C0093,Customer 0093,SMB,W,web,3,P200,Analytics Add-on,addon,1,37.46,37.46,USD
O100035,2025-09-03T15:40:11,2025-09-03,C0179,Customer 0179,Consumer,SW,mobile,1,P310,Training Package,service,1,320.22,320.22,USD
O100036,2025-09-03T20:03:55,2025-09-03,C0092,Customer 0092,Mid-Market,W,mobile,1,P310,Training Package,service,1,292.69,292.69,USD
O100037,2025-09-03T12:19:28,2025-09-03,C0170,Customer 0170,Mid-Market,SE,mobile,1,P300,Implementation Package,service,1,494.52,494.52,USD
O100038,2025-09-03T10:04:15,2025-09-03,C0009,Customer 0009,Consumer,NE,mobile,1,P200,Analytics Add-on,addon,2,36.08,72.16,USD
O100039,2025-09-03T16:24:58,2025-09-03,C0128,Customer 0128,Consumer,SE,mobile,1,P120,Enterprise Subscription,subscription,1,205.50,205.50,USD
O100040,2025-09-03T13:42:22,2025-09-03,C0217,Customer 0217,SMB,NE,mobile,1,P120,Enterprise Subscription,subscription,1,211.46,211.46,USD
O100041,2025-09-03T16:08:39,2025-09-03,C0206,Customer 0206,Consumer,SW,partner,1,P200,Analytics Add-on,addon,2,40.37,80.74,USD
O100042,2025-09-03T19:14:22,2025-09-03,C0083,Customer 0083,Mid-Market,SW,partner,1,P120,Enterprise Subscription,subscription,1,210.01,210.01,USD
O100043,2025-09-03T18:13:49,2025-09-03,C0068,Customer 0068,SMB,SE,mobile,1,P100,Starter Subscription,subscription,1,30.80,30.80,USD
O100043,2025-09-03T18:13:49,2025-09-03,C0068,Customer 0068,SMB,SE,mobile,2,P200,Analytics Add-on,addon,2,37.69,75.38,USD
O100044,2025-09-03T19:55:22,2025-09-03,C0082,Customer 0082,Consumer,SE,partner,1,P120,Enterprise Subscription,subscription,1,199.48,199.48,USD
O100045,2025-09-03T17:46:20,2025-09-03,C0240,Customer 0240,Consumer,W,web,1,P210,Automation Add-on,addon,1,58.99,58.99,USD
O100046,2025-09-03T12:46:23,2025-09-03,C0035,Customer 0035,SMB,SE,mobile,1,P200,Analytics Add-on,addon,1,39.44,39.44,USD
O100047,2025-09-03T10:12:38,2025-09-03,C0194,Customer 0194,Consumer,W,web,1,P100,Starter Subscription,subscription,1,26.86,26.86,USD
O100048,2025-09-03T13:43:07,2025-09-03,C0095,Customer 0095,SMB,SE,partner,1,P310,Training Package,service,1,318.08,318.08,USD
O100049,2025-09-03T19:13:26,2025-09-03,C0106,Customer 0106,SMB,MW,web,1,P200,Analytics Add-on,addon,2,36.27,72.54,USD
O100049,2025-09-03T19:13:26,2025-09-03,C0106,Customer 0106,SMB,MW,web,2,P300,Implementation Package,service,1,470.10,470.10,USD
O100050,2025-09-03T18:51:44,2025-09-03,C0175,Customer 0175,Enterprise,W,web,1,P110,Professional Subscription,subscription,1,76.21,76.21,USD
O100051,2025-09-03T09:22:59,2025-09-03,C0183,Customer 0183,SMB,MW,web,1,P200,Analytics Add-on,addon,1,37.14,37.14,USD
O100052,2025-09-03T10:26:41,2025-09-03,C0238,Customer 0238,Mid-Market,MW,partner,1,P200,Analytics Add-on,addon,1,40.60,40.60,USD
O100052,2025-09-03T10:26:41,2025-09-03,C0238,Customer 0238,Mid-Market,MW,partner,2,P300,Implementation Package,service,1,482.01,482.01,USD
O100053,2025-09-03T18:34:33,2025-09-03,C0117,Customer 0117,Consumer,MW,web,1,P310,Training Package,service,1,288.13,288.13,USD
O100053,2025-09-03T18:34:33,2025-09-03,C0117,Customer 0117,Consumer,MW,web,2,P210,Automation Add-on,addon,1,57.40,57.40,USD
O100053,2025-09-03T18:34:33,2025-09-03,C0117,Customer 0117,Consumer,MW,web,3,P200,Analytics Add-on,addon,2,38.74,77.48,USD
O100054,2025-09-03T13:59:15,2025-09-03,C0123,Customer 0123,Consumer,W,web,1,P200,Analytics Add-on,addon,1,41.83,41.83,USD
O100055,2025-09-04T10:29:47,2025-09-04,C0123,Customer 0123,Consumer,W,partner,1,P300,Implementation Package,service,1,502.93,502.93,USD
O100056,2025-09-04T10:20:54,2025-09-04,C0039,Customer 0039,Mid-Market,SW,web,1,P110,Professional Subscription,subscription,1,81.74,81.74,USD
O100057,2025-09-04T09:34:03,2025-09-04,C0180,Customer 0180,SMB,SE,partner,1,P200,Analytics Add-on,addon,1,37.67,37.67,USD
O100058,2025-09-04T18:55:22,2025-09-04,C0035,Customer 0035,SMB,SE,web,1,P200,Analytics Add-on,addon,2,41.99,83.98,USD
O100058,2025-09-04T18:55:22,2025-09-04,C0035,Customer 0035,SMB,SE,web,2,P210,Automation Add-on,addon,1,61.42,61.42,USD
O100058,2025-09-04T18:55:22,2025-09-04,C0035,Customer 0035,SMB,SE,web,3,P110,Professional Subscription,subscription,1,85.05,85.05,USD
O100059,2025-09-04T08:28:38,2025-09-04,C0153,Customer 0153,Consumer,W,mobile,1,P110,Professional Subscription,subscription,1,73.24,73.24,USD
O100059,2025-09-04T08:28:38,2025-09-04,C0153,Customer 0153,Consumer,W,mobile,2,P300,Implementation Package,service,1,494.13,494.13,USD
O100060,2025-09-04T18:27:35,2025-09-04,C0161,Customer 0161,Mid-Market,SE,web,1,P300,Implementation Package,service,1,521.82,521.82,USD
O100060,2025-09-04T18:27:35,2025-09-04,C0161,Customer 0161,Mid-Market,SE,web,2,P310,Training Package,service,1,290.33,290.33,USD
O100060,2025-09-04T18:27:35,2025-09-04,C0161,Customer 0161,Mid-Market,SE,web,3,P200,Analytics Add-on,addon,1,38.43,38.43,USD
O100061,2025-09-04T16:46:53,2025-09-04,C0024,Customer 0024,SMB,SW,web,1,P300,Implementation Package,service,1,507.38,507.38,USD
O100062,2025-09-04T19:48:30,2025-09-04,C0031,Customer 0031,Mid-Market,MW,partner,1,P300,Implementation Package,service,1,490.75,490.75,USD
O100062,2025-09-04T19:48:30,2025-09-04,C0031,Customer 0031,Mid-Market,MW,partner,2,P110,Professional Subscription,subscription,1,75.71,75.71,USD
O100063,2025-09-04T16:59:37,2025-09-04,C0067,Customer 0067,SMB,NE,mobile,1,P110,Professional Subscription,subscription,1,75.16,75.16,USD
O100064,2025-09-04T19:34:31,2025-09-04,C0036,Customer 0036,Mid-Market,NE,web,1,P300,Implementation Package,service,1,500.91,500.91,USD
O100064,2025-09-04T19:34:31,2025-09-04,C0036,Customer 0036,Mid-Market,NE,web,2,P100,Starter Subscription,subscription,1,30.57,30.57,USD
O100065,2025-09-04T15:42:31,2025-09-04,C0234,Customer 0234,SMB,SW,web,1,P200,Analytics Add-on,addon,1,35.98,35.98,USD
O100066,2025-09-04T11:19:43,2025-09-04,C0179,Customer 0179,Consumer,SW,mobile,1,P310,Training Package,service,1,306.17,306.17,USD
O100067,2025-09-04T16:58:02,2025-09-04,C0230,Customer 0230,Enterprise,MW,web,1,P300,Implementation Package,service,1,480.72,480.72,USD
O100067,2025-09-04T16:58:02,2025-09-04,C0230,Customer 0230,Enterprise,MW,web,2,P210,Automation Add-on,addon,1,60.74,60.74,USD
O100067,2025-09-04T16:58:02,2025-09-04,C0230,Customer 0230,Enterprise,MW,web,3,P200,Analytics Add-on,addon,1,41.49,41.49,USD
O100068,2025-09-04T16:47:22,2025-09-04,C0021,Customer 0021,Mid-Market,SE,web,1,P310,Training Package,service,1,278.72,278.72,USD
O100069,2025-09-04T14:45:50,2025-09-04,C0040,Customer 0040,SMB,W,mobile,1,P120,Enterprise Subscription,subscription,1,186.47,186.47,USD
O100069,2025-09-04T14:45:50,2025-09-04,C0040,Customer 0040,SMB,W,mobile,2,P310,Training Package,service,1,275.33,275.33,USD
O100070,2025-09-04T14:00:18,2025-09-04,C0222,Customer 0222,Consumer,NE,web,1,P300,Implementation Package,service,1,531.35,531.35,USD
O100070,2025-09-04T14:00:18,2025-09-04,C0222,Customer 0222,Consumer,NE,web,2,P210,Automation Add-on,addon,1,59.68,59.68,USD
O100071,2025-09-04T18:31:38,2025-09-04,C0185,Customer 0185,SMB,SE,mobile,1,P110,Professional Subscription,subscription,1,76.53,76.53,USD
O100072,2025-09-04T19:44:40,2025-09-04,C0075,Customer 0075,Consumer,NE,web,1,P110,Professional Subscription,subscription,1,76.80,76.80,USD
O100073,2025-09-04T12:15:16,2025-09-04,C0163,Customer 0163,Consumer,MW,mobile,1,P310,Training Package,service,1,278.62,278.62,USD
O100073,2025-09-04T12:15:16,2025-09-04,C0163,Customer 0163,Consumer,MW,mobile,2,P200,Analytics Add-on,addon,2,38.87,77.74,USD
O100074,2025-09-04T18:25:48,2025-09-04,C0174,Customer 0174,Mid-Market,SW,web,1,P100,Starter Subscription,subscription,1,27.14,27.14,USD
O100074,2025-09-04T18:25:48,2025-09-04,C0174,Customer 0174,Mid-Market,SW,web,2,P310,Training Package,service,1,285.70,285.70,USD
O100075,2025-09-04T19:28:20,2025-09-04,C0185,Customer 0185,SMB,SE,web,1,P300,Implementation Package,service,1,468.27,468.27,USD
O100076,2025-09-04T17:56:12,2025-09-04,C0189,Customer 0189,SMB,SW,web,1,P100,Starter Subscription,subscription,1,29.95,29.95,USD
O100077,2025-09-04T17:24:39,2025-09-04,C0081,Customer 0081,SMB,W,web,1,P120,Enterprise Subscription,subscription,1,210.00,210.00,USD
O100078,2025-09-04T19:58:41,2025-09-04,C0138,Customer 0138,Mid-Market,W,partner,1,P110,Professional Subscription,subscription,1,78.87,78.87,USD
O100079,2025-09-05T15:10:05,2025-09-05,C0114,Customer 0114,Consumer,MW,mobile,1,P110,Professional Subscription,subscription,1,73.09,73.09,USD
O100079,2025-09-05T15:10:05,2025-09-05,C0114,Customer 0114,Consumer,MW,mobile,2,P120,Enterprise Subscription,subscription,1,190.24,190.24,USD
O100080,2025-09-05T08:28:16,2025-09-05,C0077,Customer 0077,SMB,SE,web,1,P200,Analytics Add-on,addon,1,37.19,37.19,USD
O100080,2025-09-05T08:28:16,2025-09-05,C0077,Customer 0077,SMB,SE,web,2,P100,Starter Subscription,subscription,1,30.10,30.10,USD
O100081,2025-09-05T08:17:55,2025-09-05,C0236,Customer 0236,Consumer,MW,mobile,1,P110,Professional Subscription,subscription,1,74.53,74.53,USD
O100081,2025-09-05T08:17:55,2025-09-05,C0236,Customer 0236,Consumer,MW,mobile,2,P310,Training Package,service,1,290.49,290.49,USD
O100082,2025-09-05T16:47:17,2025-09-05,C0104,Customer 0104,Mid-Market,W,mobile,1,P200,Analytics Add-on,addon,1,39.51,39.51,USD
O100082,2025-09-05T16:47:17,2025-09-05,C0104,Customer 0104,Mid-Market,W,mobile,2,P310,Training Package,service,1,316.65,316.65,USD
O100083,2025-09-05T09:59:54,2025-09-05,C0005,Customer 0005,SMB,SE,web,1,P200,Analytics Add-on,addon,1,42.09,42.09,USD
O100084,2025-09-05T11:27:41,2025-09-05,C0194,Customer 0194,Consumer,W,web,1,P110,Professional Subscription,subscription,1,78.71,78.71,USD
O100085,2025-09-05T13:23:56,2025-09-05,C0027,Customer 0027,Consumer,MW,web,1,P310,Training Package,service,1,311.11,311.11,USD
O100086,2025-09-05T14:39:43,2025-09-05,C0236,Customer 0236,Consumer,MW,web,1,P100,Starter Subscription,subscription,1,27.33,27.33,USD
O100087,2025-09-05T18:56:19,2025-09-05,C0007,Customer 0007,Consumer,W,web,1,P110,Professional Subscription,subscription,1,77.63,77.63,USD
O100087,2025-09-05T18:56:19,2025-09-05,C0007,Customer 0007,Consumer,W,web,2,P300,Implementation Package,service,1,510.67,510.67,USD
O100088,2025-09-05T16:43:11,2025-09-05,C0094,Customer 0094,Consumer,NE,mobile,1,P310,Training Package,service,1,303.18,303.18,USD
O100088,2025-09-05T16:43:11,2025-09-05,C0094,Customer 0094,Consumer,NE,mobile,2,P100,Starter Subscription,subscription,1,26.74,26.74,USD
O100088,2025-09-05T16:43:11,2025-09-05,C0094,Customer 0094,Consumer,NE,mobile,3,P300,Implementation Package,service,1,476.30,476.30,USD
O100089,2025-09-05T11:51:09,2025-09-05,C0236,Customer 0236,Consumer,MW,web,1,P300,Implementation Package,service,1,520.02,520.02,USD
O100090,2025-09-05T13:33:33,2025-09-05,C0128,Customer 0128,Consumer,SE,mobile,1,P110,Professional Subscription,subscription,1,74.28,74.28,USD
O100090,2025-09-05T13:33:33,2025-09-05,C0128,Customer 0128,Consumer,SE,mobile,2,P120,Enterprise Subscription,subscription,1,207.95,207.95,USD
O100091,2025-09-05T17:43:46,2025-09-05,C0229,Customer 0229,SMB,SE,web,1,P100,Starter Subscription,subscription,1,30.66,30.66,USD
O100091,2025-09-05T17:43:46,2025-09-05,C0229,Customer 0229,SMB,SE,web,2,P310,Training Package,service,1,275.67,275.67,USD
O100092,2025-09-05T09:36:23,2025-09-05,C0070,Customer 0070,SMB,W,web,1,P100,Starter Subscription,subscription,1,27.72,27.72,USD
O100092,2025-09-05T09:36:23,2025-09-05,C0070,Customer 0070,SMB,W,web,2,P110,Professional Subscription,subscription,1,79.20,79.20,USD
O100093,2025-09-05T13:37:31,2025-09-05,C0119,Customer 0119,Consumer,SE,partner,1,P300,Implementation Package,service,1,519.80,519.80,USD
O100093,2025-09-05T13:37:31,2025-09-05,C0119,Customer 0119,Consumer,SE,partner,2,P210,Automation Add-on,addon,1,55.70,55.70,USD
O100094,2025-09-05T12:05:02,2025-09-05,C0183,Customer 0183,SMB,MW,partner,1,P210,Automation Add-on,addon,2,62.73,125.46,USD
O100094,2025-09-05T12:05:02,2025-09-05,C0183,Customer 0183,SMB,MW,partner,2,P200,Analytics Add-on,addon,1,41.96,41.96,USD
O100095,2025-09-05T19:20:20,2025-09-05,C0180,Customer 0180,SMB,SE,web,1,P110,Professional Subscription,subscription,1,74.40,74.40,USD
O100096,2025-09-05T11:22:25,2025-09-05,C0183,Customer 0183,SMB,MW,web,1,P120,Enterprise Subscription,subscription,1,184.07,184.07,USD
O100096,2025-09-05T11:22:25,2025-09-05,C0183,Customer 0183,SMB,MW,web,2,P110,Professional Subscription,subscription,1,77.79,77.79,USD
O100097,2025-09-05T18:28:51,2025-09-05,C0232,Customer 0232,Mid-Market,W,web,1,P310,Training Package,service,1,277.12,277.12,USD
O100097,2025-09-05T18:28:51,2025-09-05,C0232,Customer 0232,Mid-Market,W,web,2,P120,Enterprise Subscription,subscription,1,197.76,197.76,USD
O100097,2025-09-05T18:28:51,2025-09-05,C0232,Customer 0232,Mid-Market,W,web,3,P100,Starter Subscription,subscription,1,27.46,27.46,USD
O100098,2025-09-05T14:12:41,2025-09-05,C0036,Customer 0036,Mid-Market,NE,partner,1,P300,Implementation Package,service,1,538.45,538.45,USD
O100099,2025-09-05T09:15:42,2025-09-05,C0041,Customer 0041,Consumer,NE,web,1,P310,Training Package,service,1,318.96,318.96,USD
O100100,2025-09-05T19:22:36,2025-09-05,C0181,Customer 0181,SMB,W,mobile,1,P110,Professional Subscription,subscription,1,83.26,83.26,USD
O100101,2025-09-06T10:49:07,2025-09-06,C0181,Customer 0181,SMB,W,mobile,1,P100,Starter Subscription,subscription,1,29.95,29.95,USD
O100101,2025-09-06T10:49:07,2025-09-06,C0181,Customer 0181,SMB,W,mobile,2,P120,Enterprise Subscription,subscription,1,204.16,204.16,USD
O100102,2025-09-06T20:36:02,2025-09-06,C0101,Customer 0101,SMB,SE,web,1,P310,Training Package,service,1,321.37,321.37,USD
O100103,2025-09-06T13:28:00,2025-09-06,C0187,Customer 0187,SMB,SW,web,1,P100,Starter Subscription,subscription,1,28.31,28.31,USD
O100104,2025-09-06T20:43:14,2025-09-06,C0167,Customer 0167,Consumer,NE,web,1,P310,Training Package,service,1,276.68,276.68,USD
O100105,2025-09-06T17:56:27,2025-09-06,C0043,Customer 0043,Mid-Market,MW,web,1,P110,Professional Subscription,subscription,1,85.00,85.00,USD
O100106,2025-09-06T18:40:38,2025-09-06,C0076,Customer 0076,Mid-Market,MW,web,1,P110,Professional Subscription,subscription,1,74.84,74.84,USD
O100107,2025-09-06T08:09:48,2025-09-06,C0145,Customer 0145,Mid-Market,W,mobile,1,P300,Implementation Package,service,1,486.53,486.53,USD
O100108,2025-09-06T20:12:08,2025-09-06,C0055,Customer 0055,Mid-Market,NE,web,1,P300,Implementation Package,service,1,493.84,493.84,USD
O100109,2025-09-06T09:36:49,2025-09-06,C0237,Customer 0237,Mid-Market,MW,web,1,P210,Automation Add-on,addon,1,62.57,62.57,USD
O100110,2025-09-06T13:52:50,2025-09-06,C0006,Customer 0006,Consumer,W,web,1,P200,Analytics Add-on,addon,2,40.15,80.30,USD
O100111,2025-09-06T13:52:03,2025-09-06,C0223,Customer 0223,Consumer,MW,web,1,P120,Enterprise Subscription,subscription,1,205.67,205.67,USD
O100112,2025-09-06T09:43:01,2025-09-06,C0163,Customer 0163,Consumer,MW,web,1,P200,Analytics Add-on,addon,1,41.87,41.87,USD
O100113,2025-09-06T15:58:08,2025-09-06,C0003,Customer 0003,Consumer,W,mobile,1,P100,Starter Subscription,subscription,1,27.85,27.85,USD
O100113,2025-09-06T15:58:08,2025-09-06,C0003,Customer 0003,Consumer,W,mobile,2,P110,Professional Subscription,subscription,1,82.86,82.86,USD
O100114,2025-09-06T13:35:41,2025-09-06,C0216,Customer 0216,Consumer,SE,mobile,1,P300,Implementation Package,service,1,467.71,467.71,USD
O100115,2025-09-06T18:20:43,2025-09-06,C0104,Customer 0104,Mid-Market,W,web,1,P200,Analytics Add-on,addon,1,37.50,37.50,USD
O100116,2025-09-06T09:30:08,2025-09-06,C0076,Customer 0076,Mid-Market,MW,mobile,1,P210,Automation Add-on,addon,2,62.77,125.54,USD
O100116,2025-09-06T09:30:08,2025-09-06,C0076,Customer 0076,Mid-Market,MW,mobile,2,P110,Professional Subscription,subscription,1,80.95,80.95,USD
O100117,2025-09-06T15:56:12,2025-09-06,C0019,Customer 0019,Consumer,NE,web,1,P200,Analytics Add-on,addon,1,38.46,38.46,USD
O100117,2025-09-06T15:56:12,2025-09-06,C0019,Customer 0019,Consumer,NE,web,2,P210,Automation Add-on,addon,1,55.58,55.58,USD
O100118,2025-09-07T12:13:48,2025-09-07,C0116,Customer 0116,Mid-Market,NE,mobile,1,P110,Professional Subscription,subscription,1,78.87,78.87,USD
O100119,2025-09-07T08:43:00,2025-09-07,C0049,Customer 0049,Mid-Market,SE,mobile,1,P300,Implementation Package,service,1,529.10,529.10,USD
O100120,2025-09-07T11:14:46,2025-09-07,C0005,Customer 0005,SMB,SE,partner,1,P100,Starter Subscription,subscription,1,29.42,29.42,USD
O100121,2025-09-07T09:35:16,2025-09-07,C0098,Customer 0098,SMB,W,web,1,P300,Implementation Package,service,1,513.83,513.83,USD
O100122,2025-09-07T20:06:31,2025-09-07,C0030,Customer 0030,Consumer,SW,web,1,P120,Enterprise Subscription,subscription,1,209.55,209.55,USD
O100123,2025-09-07T10:05:49,2025-09-07,C0127,Customer 0127,SMB,W,web,1,P100,Starter Subscription,subscription,1,29.67,29.67,USD
O100123,2025-09-07T10:05:49,2025-09-07,C0127,Customer 0127,SMB,W,web,2,P120,Enterprise Subscription,subscription,1,197.62,197.62,USD
O100124,2025-09-07T12:56:46,2025-09-07,C0160,Customer 0160,Mid-Market,SE,web,1,P110,Professional Subscription,subscription,1,77.75,77.75,USD
O100124,2025-09-07T12:56:46,2025-09-07,C0160,Customer 0160,Mid-Market,SE,web,2,P100,Starter Subscription,subscription,1,31.15,31.15,USD
O100125,2025-09-07T18:56:53,2025-09-07,C0221,Customer 0221,Consumer,MW,mobile,1,P200,Analytics Add-on,addon,1,41.42,41.42,USD
O100125,2025-09-07T18:56:53,2025-09-07,C0221,Customer 0221,Consumer,MW,mobile,2,P310,Training Package,service,1,296.16,296.16,USD
O100126,2025-09-07T18:41:24,2025-09-07,C0170,Customer 0170,Mid-Market,SE,web,1,P210,Automation Add-on,addon,1,60.35,60.35,USD
